ITEMTYPE,ITEMID,COLOR,MAXPRICE,MINQTY,CONDITION,NOTIFY
P,3002,86,-1,2,X,N
P,3005,12,-1,2,X,N
P,3005,55,-1,2,X,N
P,3008,85,-1,2,X,N
P,3008,86,-1,2,X,N
P,3010,69,-1,2,X,N
P,3010,85,-1,2,X,N
P,3022,88,-1,2,X,N
P,3023,80,-1,2,X,N
P,3024,5,-1,2,X,N
P,3024,115,-1,2,X,N
P,3031,104,-1,2,X,N
P,3032,85,-1,2,X,N
P,30357,86,-1,2,X,N
P,87079,85,-1,1,X,N
P,87079,86,-1,1,X,N
P,61252,115,-1,1,X,N
P,4085d,2,-1,1,X,N
P,3049c,11,-1,1,X,N
P,92947,1,-1,1,X,N
P,92947,120,-1,1,X,N
P,93223,68,-1,1,X,N
P,92946,11,-1,1,X,N
P,4623b,11,-1,1,X,N
P,3957b,88,-1,1,X,N
P,96874,4,-1,1,X,N
P,98374,77,-1,1,X,N
P,11212,86,-1,1,X,N
P,11833,12,-1,1,X,N
P,93549pb02,12,-1,1,X,N
P,14769,1,-1,1,X,N
P,15573,42,-1,1,X,N
P,15573,47,-1,1,X,N
P,15397,88,-1,1,X,N
P,15712,86,-1,1,X,N
P,15070,2,-1,1,X,N
P,14718,85,-1,1,X,N
P,16577,86,-1,1,X,N
P,18674,1,-1,1,X,N
P,18031,95,-1,1,X,N
P,18646,85,-1,1,X,N
P,18646,104,-1,1,X,N
P,18980,86,-1,1,X,N
P,18838,88,-1,1,X,N
P,22888,47,-1,1,X,N
P,22886,1,-1,1,X,N
P,15254,88,-1,1,X,N
P,26603,86,-1,1,X,N
P,26601,86,-1,1,X,N
P,29111,150,-1,1,X,N
P,36752c01,11,-1,1,X,N
P,36752c01,69,-1,1,X,N
P,36752c01,88,-1,1,X,N
P,36752c01,120,-1,1,X,N
P,71043stk01,,-1,1,X,N
P,71043stk02,,-1,1,X,N
P,71043stk03,,-1,1,X,N
P,71043stk04,,-1,1,X,N
P,38801,48,-1,1,X,N
P,2343,115,-1,3,X,N
P,2419,11,-1,4,X,N
P,2454,85,-1,3,X,N
P,2456,85,-1,4,X,N
P,2456,86,-1,4,X,N
P,2465,1,-1,3,X,N
P,3003,2,-1,4,X,N
P,3005,63,-1,3,X,N
P,3005,85,-1,3,X,N
P,3008,88,-1,3,X,N
P,3010,11,-1,3,X,N
P,3010,39,-1,3,X,N
P,3040,120,-1,2,X,N
P,3046a,85,-1,2,X,N
P,3062b,88,-1,2,X,N
P,3176,2,-1,2,X,N
P,32018,11,-1,2,X,N
P,3460,86,-1,3,X,N
P,3622,88,-1,2,X,N
P,3676,2,-1,2,X,N
P,3688,85,-1,3,X,N
P,3701,86,-1,3,X,N
P,3702,3,-1,2,X,N
P,3795,86,-1,3,X,N
P,3832,85,-1,2,X,N
P,3894,85,-1,3,X,N
P,3941,88,-1,3,X,N
P,4032,88,-1,2,X,N
P,4070,88,-1,3,X,N
P,4073,11,-1,2,X,N
P,4162,88,-1,3,X,N
P,4287,88,-1,2,X,N
P,4510,2,-1,3,X,N
P,4740,85,-1,2,X,N
P,6106,69,-1,3,X,N
P,6111,2,-1,2,X,N
P,6111,11,-1,2,X,N
P,6112,11,-1,3,X,N
P,6112,88,-1,2,X,N
P,6179,86,-1,2,X,N
P,6182,2,-1,3,X,N
P,6233,85,-1,2,X,N
P,6558,7,-1,2,X,N
P,6636,86,-1,3,X,N
P,30413,85,-1,3,X,N
P,30565,2,-1,2,X,N
P,30504,86,-1,2,X,N
P,30503,2,-1,2,X,N
P,40344,86,-1,3,X,N
P,41539,86,-1,2,X,N
P,3070b,1,-1,3,X,N
P,3070b,11,-1,2,X,N
P,3070b,55,-1,2,X,N
P,32555,11,-1,3,X,N
P,4081b,85,-1,2,X,N
P,3069b,5,-1,2,X,N
P,3069b,12,-1,3,X,N
P,3068b,69,-1,3,X,N
P,3068b,85,-1,2,X,N
P,3068b,86,-1,2,X,N
P,3068b,88,-1,2,X,N
P,3068b,104,-1,2,X,N
P,43723,85,-1,3,X,N
P,47397,85,-1,3,X,N
P,47905,2,-1,2,X,N
P,47457,89,-1,3,X,N
P,54200,11,-1,2,X,N
P,30361c,2,-1,3,X,N
P,55236,6,-1,3,X,N
P,60478,88,-1,3,X,N
P,60474,85,-1,3,X,N
P,60474,120,-1,3,X,N
P,61485,11,-1,2,X,N
P,63965,11,-1,2,X,N
P,63868,69,-1,2,X,N
P,4599b,86,-1,2,X,N
P,85984,85,-1,3,X,N
P,85975,88,-1,2,X,N
P,87580,69,-1,2,X,N
P,64799,86,-1,2,X,N
P,60581,2,-1,3,X,N
P,87079,63,-1,2,X,N
P,3245c,11,-1,2,X,N
P,3245c,59,-1,2,X,N
P,4085d,86,-1,2,X,N
P,87620,85,-1,2,X,N
P,90398,1,-1,2,X,N
P,90398,11,-1,2,X,N
P,90398,115,-1,2,X,N
P,92950,88,-1,2,X,N
P,3049c,85,-1,2,X,N
P,92946,2,-1,2,X,N
P,93274,85,-1,3,X,N
P,92582,86,-1,2,X,N
P,2453b,2,-1,2,X,N
P,99780,5,-1,2,X,N
P,99781,86,-1,3,X,N
P,75937,150,-1,2,X,N
P,11213,86,-1,3,X,N
P,11253,11,-1,2,X,N
P,11476,1,-1,2,X,N
P,11477,85,-1,2,X,N
P,11477,86,-1,3,X,N
P,14719,2,-1,3,X,N
P,11214,85,-1,2,X,N
P,15712,85,-1,2,X,N
P,15712,115,-1,3,X,N
P,15706,85,-1,2,X,N
P,15082,69,-1,2,X,N
P,15070,115,-1,2,X,N
P,16577,2,-1,2,X,N
P,15571,85,-1,2,X,N
P,10830c01,11,-1,2,X,N
P,18674,86,-1,2,X,N
P,18646,86,-1,3,X,N
P,20482,12,-1,3,X,N
P,22888,2,-1,3,X,N
P,22888,155,-1,2,X,N
P,25269,11,-1,3,X,N
P,24482,85,-1,2,X,N
P,15254,2,-1,3,X,N
P,27507,85,-1,2,X,N
P,26604,2,-1,2,X,N
P,27925,63,-1,2,X,N
P,34103,11,-1,2,X,N
P,36841,86,-1,2,X,N
P,93552,88,-1,2,X,N
P,44302b,86,-1,2,X,N
P,2420,2,-1,20,X,N
P,2420,89,-1,8,X,N
P,2445,85,-1,6,X,N
P,2445,86,-1,17,X,N
P,2454,2,-1,7,X,N
P,2458,85,-1,20,X,N
P,2921,2,-1,10,X,N
P,30000,85,-1,8,X,N
P,3001,5,-1,13,X,N
P,3002,2,-1,11,X,N
P,3003,3,-1,12,X,N
P,3003,69,-1,6,X,N
P,3004,69,-1,8,X,N
P,3004,85,-1,9,X,N
P,3004,86,-1,4,X,N
P,3004,156,-1,16,X,N
P,30044,88,-1,5,X,N
P,3005,86,-1,4,X,N
P,3007,2,-1,7,X,N
P,3007,85,-1,5,X,N
P,3008,2,-1,15,X,N
P,3009,2,-1,9,X,N
P,3009,85,-1,5,X,N
P,3009,88,-1,8,X,N
P,3010,2,-1,18,X,N
P,3010,155,-1,5,X,N
P,30136,88,-1,5,X,N
P,3020,1,-1,22,X,N
P,3020,85,-1,8,X,N
P,3020,155,-1,14,X,N
P,3021,2,-1,6,X,N
P,3021,88,-1,12,X,N
P,3022,69,-1,17,X,N
P,3022,85,-1,8,X,N
P,3023,12,-1,12,X,N
P,3023,15,-1,4,X,N
P,3023,17,-1,10,X,N
P,3023,19,-1,10,X,N
P,3023,50,-1,8,X,N
P,3023,88,-1,14,X,N
P,3023,155,-1,12,X,N
P,3024,12,-1,5,X,N
P,3024,14,-1,4,X,N
P,3024,15,-1,10,X,N
P,3024,17,-1,16,X,N
P,3024,19,-1,9,X,N
P,3024,20,-1,12,X,N
P,3024,63,-1,21,X,N
P,3024,86,-1,4,X,N
P,3024,88,-1,17,X,N
P,3028,86,-1,4,X,N
P,3030,2,-1,9,X,N
P,3034,2,-1,5,X,N
P,3035,69,-1,4,X,N
P,3037,85,-1,8,X,N
P,3038,85,-1,4,X,N
P,3039,85,-1,5,X,N
P,3040,2,-1,11,X,N
P,3040,69,-1,9,X,N
P,3040,85,-1,13,X,N
P,3043,85,-1,6,X,N
P,3045,85,-1,12,X,N
P,3062b,2,-1,9,X,N
P,3062b,12,-1,7,X,N
P,3062b,71,-1,9,X,N
P,3176,88,-1,5,X,N
P,32028,2,-1,8,X,N
P,32028,85,-1,12,X,N
P,32028,88,-1,10,X,N
P,32054,11,-1,4,X,N
P,32124,88,-1,17,X,N
P,3456,86,-1,9,X,N
P,3460,2,-1,19,X,N
P,3460,69,-1,13,X,N
P,3460,85,-1,6,X,N
P,3622,2,-1,12,X,N
P,3622,86,-1,21,X,N
P,3623,2,-1,21,X,N
P,3623,69,-1,5,X,N
P,3623,85,-1,14,X,N
P,3623,86,-1,19,X,N
P,3623,88,-1,5,X,N
P,3659,2,-1,18,X,N
P,3660,2,-1,4,X,N
P,3665,2,-1,18,X,N
P,3666,69,-1,9,X,N
P,3666,85,-1,12,X,N
P,3666,86,-1,4,X,N
P,3666,88,-1,8,X,N
P,3700,2,-1,7,X,N
P,3703,85,-1,9,X,N
P,3710,2,-1,18,X,N
P,3710,85,-1,4,X,N
P,3710,86,-1,5,X,N
P,3710,88,-1,14,X,N
P,3743,86,-1,4,X,N
P,3795,2,-1,6,X,N
P,3795,69,-1,10,X,N
P,3795,85,-1,8,X,N
P,3795,88,-1,10,X,N
P,3832,1,-1,6,X,N
P,3832,2,-1,5,X,N
P,3895,86,-1,4,X,N
P,3937,2,-1,5,X,N
P,3941,2,-1,5,X,N
P,3941,154,-1,5,X,N
P,3957,12,-1,9,X,N
P,4032,2,-1,9,X,N
P,4032,6,-1,6,X,N
P,4070,85,-1,4,X,N
P,4073,1,-1,7,X,N
P,4073,2,-1,18,X,N
P,4073,4,-1,10,X,N
P,4073,12,-1,21,X,N
P,4073,14,-1,15,X,N
P,4073,15,-1,9,X,N
P,4073,17,-1,15,X,N
P,4073,20,-1,20,X,N
P,4073,51,-1,6,X,N
P,4073,85,-1,6,X,N
P,4073,115,-1,10,X,N
P,4162,2,-1,21,X,N
P,4282,85,-1,15,X,N
P,4286,2,-1,4,X,N
P,4477,2,-1,12,X,N
P,4477,85,-1,7,X,N
P,4490,2,-1,8,X,N
P,3942c,85,-1,11,X,N
P,30562,2,-1,6,X,N
P,4510,1,-1,4,X,N
P,4733,85,-1,4,X,N
P,4733,88,-1,8,X,N
P,6003,69,-1,4,X,N
P,6082,69,-1,10,X,N
P,6134,86,-1,5,X,N
P,6259,2,-1,6,X,N
P,6541,2,-1,12,X,N
P,6636,88,-1,14,X,N
P,30413,2,-1,16,X,N
P,30565,69,-1,12,X,N
P,30526,86,-1,4,X,N
P,32524,85,-1,4,X,N
P,3070b,12,-1,5,X,N
P,3070b,85,-1,11,X,N
P,3070b,86,-1,10,X,N
P,3070b,88,-1,11,X,N
P,40345,11,-1,11,X,N
P,2429c01,2,-1,9,X,N
P,42446,88,-1,21,X,N
P,3839b,11,-1,6,X,N
P,3069b,69,-1,12,X,N
P,3069b,85,-1,15,X,N
P,3069b,88,-1,5,X,N
P,3068b,63,-1,4,X,N
P,43722,69,-1,5,X,N
P,45301,85,-1,4,X,N
P,43719,63,-1,5,X,N
P,47398,85,-1,5,X,N
P,47905,1,-1,4,X,N
P,47543,85,-1,8,X,N
P,48336,11,-1,4,X,N
P,54200,1,-1,6,X,N
P,54200,88,-1,10,X,N
P,50950,69,-1,6,X,N
P,50305,69,-1,10,X,N
P,50304,85,-1,6,X,N
P,53451,69,-1,8,X,N
P,3747b,85,-1,4,X,N
P,59349,85,-1,4,X,N
P,60474,69,-1,10,X,N
P,4589b,2,-1,16,X,N
P,4589b,11,-1,4,X,N
P,4589b,48,-1,7,X,N
P,4589b,85,-1,12,X,N
P,60479,88,-1,7,X,N
P,64647,98,-1,7,X,N
P,64644,2,-1,4,X,N
P,64644,11,-1,13,X,N
P,64644,120,-1,4,X,N
P,63868,85,-1,8,X,N
P,85861,15,-1,6,X,N
P,85861,98,-1,5,X,N
P,87580,59,-1,5,X,N
P,87580,85,-1,15,X,N
P,85970,85,-1,8,X,N
P,63864,2,-1,4,X,N
P,63864,85,-1,6,X,N
P,87087,85,-1,4,X,N
P,87087,86,-1,20,X,N
P,87079,69,-1,12,X,N
P,87079,88,-1,5,X,N
P,3245c,85,-1,19,X,N
P,61252,11,-1,21,X,N
P,61252,86,-1,8,X,N
P,4085d,85,-1,18,X,N
P,87994,11,-1,6,X,N
P,87994,88,-1,18,X,N
P,90540,48,-1,15,X,N
P,92950,2,-1,4,X,N
P,92593,2,-1,8,X,N
P,92593,69,-1,4,X,N
P,92593,85,-1,4,X,N
P,92946,69,-1,6,X,N
P,92946,85,-1,16,X,N
P,4865b,2,-1,4,X,N
P,30241b,2,-1,15,X,N
P,98138,59,-1,6,X,N
P,98138,86,-1,7,X,N
P,98138,150,-1,5,X,N
P,98283,2,-1,7,X,N
P,98313,88,-1,7,X,N
P,99780,86,-1,13,X,N
P,99207,11,-1,12,X,N
P,99206,88,-1,13,X,N
P,11211,2,-1,8,X,N
P,30350b,11,-1,4,X,N
P,2339,86,-1,4,X,N
P,2339,88,-1,6,X,N
P,15573,1,-1,10,X,N
P,15573,85,-1,7,X,N
P,15573,88,-1,4,X,N
P,15068,85,-1,14,X,N
P,15068,86,-1,4,X,N
P,14716,86,-1,7,X,N
P,15712,88,-1,8,X,N
P,15533,2,-1,9,X,N
P,16478,11,-1,5,X,N
P,17485,2,-1,15,X,N
P,18646,2,-1,4,X,N
P,18646,69,-1,7,X,N
P,19119,68,-1,4,X,N
P,20482,88,-1,14,X,N
P,20482,115,-1,13,X,N
P,18838,86,-1,4,X,N
P,22888,85,-1,8,X,N
P,22885,2,-1,5,X,N
P,22885,86,-1,6,X,N
P,23996,69,-1,6,X,N
P,25269,63,-1,5,X,N
P,25269,85,-1,9,X,N
P,26047,11,-1,4,X,N
P,26047,115,-1,5,X,N
P,26604,48,-1,10,X,N
P,27925,2,-1,11,X,N
P,28588,85,-1,4,X,N
P,29119,85,-1,4,X,N
P,29120,85,-1,4,X,N
P,23949,85,-1,8,X,N
P,33909,88,-1,7,X,N
P,34103,2,-1,19,X,N
P,24866,36,-1,4,X,N
P,24866,47,-1,4,X,N
P,35464,2,-1,5,X,N
P,38317,85,-1,8,X,N
P,37775,98,-1,5,X,N
P,38585,2,-1,16,X,N
P,2357,2,-1,53,X,N
P,2357,85,-1,37,X,N
P,2420,69,-1,84,X,N
P,3001,69,-1,25,X,N
P,3002,85,-1,28,X,N
P,3004,2,-1,40,X,N
P,3005,2,-1,111,X,N
P,3005,59,-1,23,X,N
P,3005,69,-1,26,X,N
P,3021,69,-1,31,X,N
P,3022,2,-1,37,X,N
P,3022,34,-1,35,X,N
P,3023,2,-1,72,X,N
P,3023,4,-1,39,X,N
P,3023,69,-1,76,X,N
P,3023,86,-1,28,X,N
P,3024,1,-1,86,X,N
P,3024,2,-1,54,X,N
P,3024,13,-1,47,X,N
P,3024,69,-1,73,X,N
P,3024,85,-1,28,X,N
P,3034,69,-1,30,X,N
P,3040,86,-1,80,X,N
P,3040,155,-1,43,X,N
P,3666,2,-1,29,X,N
P,3710,42,-1,35,X,N
P,3710,69,-1,38,X,N
P,4070,2,-1,39,X,N
P,4070,12,-1,46,X,N
P,4070,86,-1,34,X,N
P,4073,19,-1,44,X,N
P,4073,86,-1,45,X,N
P,4073,88,-1,53,X,N
P,4274,7,-1,26,X,N
P,2780,11,-1,64,X,N
P,6232,85,-1,44,X,N
P,6541,85,-1,28,X,N
P,3070b,2,-1,40,X,N
P,3070b,69,-1,62,X,N
P,2412b,85,-1,87,X,N
P,3069b,2,-1,24,X,N
P,3068b,2,-1,26,X,N
P,44728,2,-1,27,X,N
P,3678b,85,-1,36,X,N
P,48092,2,-1,22,X,N
P,49668,95,-1,39,X,N
P,54200,2,-1,30,X,N
P,54200,80,-1,31,X,N
P,54200,85,-1,32,X,N
P,54200,86,-1,132,X,N
P,54200,155,-1,64,X,N
P,50950,2,-1,31,X,N
P,60481,85,-1,25,X,N
P,60481,86,-1,54,X,N
P,85984,2,-1,72,X,N
P,85861,11,-1,27,X,N
P,87580,88,-1,24,X,N
P,87087,2,-1,22,X,N
P,3245c,2,-1,35,X,N
P,85080,2,-1,57,X,N
P,90195,2,-1,55,X,N
P,99207,2,-1,44,X,N
P,13965,2,-1,26,X,N
P,11477,2,-1,50,X,N
P,15573,2,-1,121,X,N
P,15068,2,-1,67,X,N
P,14716,2,-1,24,X,N
P,18677,86,-1,24,X,N
P,24309,2,-1,43,X,N
P,24246,95,-1,28,X,N
P,25893,12,-1,24,X,N
P,32952,2,-1,25,X,N
P,24855,6,-1,52,X,N
P,38583,2,-1,29,X,N
P,60601pb017,12,-1,31,X,N
